event_rank_by_abs_train_ramp,event_index,event_timestamp,ramp_kw_per_10min,absolute_ramp_kw_per_10min,representation,alignment_mode,peak_timing_error_steps,local_correlation,reconstruction_rmse_kw,window_radius_steps,source_signal,fit_split
21,13309,2021-04-03 10:20:00,-686.8677705223881,686.8677705223881,causal_downsample_upsample_ma36,causal_downsample_upsample,11,-0.04169146763934028,538.3257975003982,36,Patv_clean_for_input,train
22,40199,2021-10-07 04:00:00,-643.7239972014926,643.7239972014926,coaxial_ma6,coaxial,-1,0.669012119575131,170.63176096091146,36,Patv_clean_for_input,train
22,40199,2021-10-07 04:00:00,-643.7239972014926,643.7239972014926,coaxial_ma18,coaxial,-1,0.24146429843529096,239.977079496988,36,Patv_clean_for_input,train
22,40199,2021-10-07 04:00:00,-643.7239972014926,643.7239972014926,coaxial_ma36,coaxial,35,0.31072118840677887,265.7089143381625,36,Patv_clean_for_input,train
22,40199,2021-10-07 04:00:00,-643.7239972014926,643.7239972014926,causal_downsample_upsample_ma36,causal_downsample_upsample,13,0.08098066434033262,401.372959441781,36,Patv_clean_for_input,train
23,29905,2021-07-27 16:20:00,-632.260552705224,632.260552705224,coaxial_ma6,coaxial,13,0.7703441141380302,206.8171888732789,36,Patv_clean_for_input,train
23,29905,2021-07-27 16:20:00,-632.260552705224,632.260552705224,coaxial_ma18,coaxial,16,0.47924223629300333,289.9412941813774,36,Patv_clean_for_input,train
23,29905,2021-07-27 16:20:00,-632.260552705224,632.260552705224,coaxial_ma36,coaxial,-2,0.11228279414485251,342.4661867032616,36,Patv_clean_for_input,train
23,29905,2021-07-27 16:20:00,-632.260552705224,632.260552705224,causal_downsample_upsample_ma36,causal_downsample_upsample,11,-0.40661409623757316,434.48229480724217,36,Patv_clean_for_input,train
24,22816,2021-06-08 10:50:00,-594.826958955224,594.826958955224,coaxial_ma6,coaxial,4,0.957926816486893,138.6033333403017,36,Patv_clean_for_input,train
24,22816,2021-06-08 10:50:00,-594.826958955224,594.826958955224,coaxial_ma18,coaxial,16,0.8245048529485541,278.8863891903198,36,Patv_clean_for_input,train
24,22816,2021-06-08 10:50:00,-594.826958955224,594.826958955224,coaxial_ma36,coaxial,34,0.5433325675590865,415.81591353305106,36,Patv_clean_for_input,train
24,22816,2021-06-08 10:50:00,-594.826958955224,594.826958955224,causal_downsample_upsample_ma36,causal_downsample_upsample,-28,-0.7055347729835904,635.2234685409665,36,Patv_clean_for_input,train
