split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,22,21,10,0.2650189318887436,260.9037705420632,366.39641978390324,11087,0.2650189318887436,10,0.2609385788627858,True,top_14_by_validation_H10_Score
val,23,22,3,0.2603488975893971,257.5791886641326,362.84817256005965,3268,0.26516565200262043,9,0.2609385788627858,True,top_14_by_validation_H10_Score
val,23,22,6,0.2629883994581755,259.7933887643296,366.11810007914085,6533,0.26516565200262043,9,0.2609385788627858,True,top_14_by_validation_H10_Score
val,23,22,10,0.26516565200262043,262.61371895695,370.3071846227023,10879,0.26516565200262043,9,0.2609385788627858,True,top_14_by_validation_H10_Score
val,24,23,3,0.22430773744059246,220.3863551857376,309.9152035382708,3255,0.22657680111196057,68,0.2609385788627858,False,top_14_by_validation_H10_Score
val,24,23,6,0.2259832379265591,222.30298732272195,312.6702841319209,6507,0.22657680111196057,68,0.2609385788627858,False,top_14_by_validation_H10_Score
val,24,23,10,0.22657680111196057,224.52367924293068,316.0280080454327,10839,0.22657680111196057,68,0.2609385788627858,False,top_14_by_validation_H10_Score
val,25,24,3,0.25616917628341884,253.95671919656746,354.9480494000984,3222,0.262585674005083,12,0.2609385788627858,True,top_14_by_validation_H10_Score
val,25,24,6,0.2595549882216216,256.1257488700525,358.0755589276941,6441,0.262585674005083,12,0.2609385788627858,True,top_14_by_validation_H10_Score
val,25,24,10,0.262585674005083,258.6794318523189,361.8237643717539,10729,0.262585674005083,12,0.2609385788627858,True,top_14_by_validation_H10_Score
val,26,25,3,0.25587649850803046,254.2352017878878,356.4626354864718,3648,0.263104769399501,11,0.2609385788627858,True,top_14_by_validation_H10_Score
val,26,25,6,0.25951030451470086,256.5524166823771,359.7843499265533,7293,0.263104769399501,11,0.2609385788627858,True,top_14_by_validation_H10_Score
val,26,25,10,0.263104769399501,259.3849749751225,363.8536202596098,12148,0.263104769399501,11,0.2609385788627858,True,top_14_by_validation_H10_Score
