variant_id,horizon_i,horizon_j,distance
N5,8,9,4.8180975914001465
N5,8,10,4.822183609008789
N5,9,1,5.863144397735596
N5,9,2,5.865697860717773
N5,9,3,5.432750701904297
N5,9,4,4.864839553833008
N5,9,5,4.948957443237305
N5,9,6,5.121528625488281
N5,9,7,5.691781044006348
N5,9,8,4.8180975914001465
N5,9,9,0.0
N5,9,10,5.021472930908203
N5,10,1,5.847062587738037
N5,10,2,5.493518352508545
N5,10,3,5.180945873260498
N5,10,4,5.246162414550781
N5,10,5,4.641480922698975
N5,10,6,5.327543258666992
N5,10,7,4.622945308685303
N5,10,8,4.822183609008789
N5,10,9,5.021472930908203
N5,10,10,0.0
N6,1,1,0.0
N6,1,2,6.357444763183594
N6,1,3,6.568169593811035
N6,1,4,6.568668842315674
N6,1,5,6.421558380126953
N6,1,6,6.825263500213623
N6,1,7,6.404319763183594
N6,1,8,6.102747440338135
N6,1,9,6.362149238586426
N6,1,10,6.662942886352539
N6,2,1,6.357444763183594
N6,2,2,0.0
N6,2,3,6.056768894195557
N6,2,4,6.778897285461426
N6,2,5,5.9818878173828125
N6,2,6,6.902493953704834
N6,2,7,5.753833293914795
N6,2,8,6.4069952964782715
N6,2,9,6.63461446762085
N6,2,10,6.1801066398620605
N6,3,1,6.568169593811035
N6,3,2,6.056768894195557
N6,3,3,0.0
N6,3,4,6.815433979034424
N6,3,5,6.789560794830322
N6,3,6,7.137698650360107
N6,3,7,5.638949394226074
N6,3,8,6.585029125213623
N6,3,9,6.216343879699707
N6,3,10,5.979278564453125
N6,4,1,6.568668842315674
N6,4,2,6.778897285461426
N6,4,3,6.815433979034424
N6,4,4,0.0
N6,4,5,6.220205307006836
N6,4,6,5.315292835235596
N6,4,7,6.922489643096924
N6,4,8,5.806560039520264
N6,4,9,5.7711262702941895
N6,4,10,6.488131046295166
N6,5,1,6.421558380126953
N6,5,2,5.9818878173828125
N6,5,3,6.789560794830322
N6,5,4,6.220205307006836
N6,5,5,0.0
N6,5,6,5.665122032165527
N6,5,7,6.067920207977295
N6,5,8,6.39260721206665
N6,5,9,6.0442118644714355
N6,5,10,5.585147857666016
N6,6,1,6.825263500213623
N6,6,2,6.902493953704834
N6,6,3,7.137698650360107
N6,6,4,5.315292835235596
N6,6,5,5.665122032165527
N6,6,6,0.0
N6,6,7,6.338526248931885
N6,6,8,6.672946929931641
N6,6,9,6.245243549346924
N6,6,10,6.3681840896606445
N6,7,1,6.404319763183594
N6,7,2,5.753833293914795
N6,7,3,5.638949394226074
N6,7,4,6.922489643096924
N6,7,5,6.067920207977295
N6,7,6,6.338526248931885
N6,7,7,0.0
N6,7,8,6.5090436935424805
N6,7,9,7.000395774841309
N6,7,10,5.781435489654541
N6,8,1,6.102747440338135
N6,8,2,6.4069952964782715
N6,8,3,6.585029125213623
N6,8,4,5.806560039520264
N6,8,5,6.39260721206665
N6,8,6,6.672946929931641
N6,8,7,6.5090436935424805
N6,8,8,0.0
N6,8,9,5.855619430541992
N6,8,10,6.111591339111328
N6,9,1,6.362149238586426
N6,9,2,6.63461446762085
N6,9,3,6.216343879699707
N6,9,4,5.7711262702941895
N6,9,5,6.0442118644714355
N6,9,6,6.245243549346924
N6,9,7,7.000395774841309
N6,9,8,5.855619430541992
N6,9,9,0.0
N6,9,10,6.347620964050293
N6,10,1,6.662942886352539
N6,10,2,6.1801066398620605
N6,10,3,5.979278564453125
N6,10,4,6.488131046295166
N6,10,5,5.585147857666016
N6,10,6,6.3681840896606445
